Date,High,Low,Open,Volume From,Volume To,Close,Currency Pair
29/10/2021,62967.45,60269.97,60610.11,35214.62,"2,168,021,242.77",62282.5,BTC/USD
30/10/2021,62371.52,60774.38,62282.5,15917.35,"979,987,095.61",61891.91,BTC/USD
31/10/2021,62420.57,60022.06,61891.91,19359.29,"1,181,933,822.61",61349.75,BTC/USD
01/11/2021,62482.31,59554.88,61349.75,31925.65,"1,955,088,666.05",60960.98,BTC/USD
02/11/2021,64283.57,60677.48,60960.98,36009.96,"2,260,756,044.28",63260.05,BTC/USD
03/11/2021,63553.52,61057.89,63260.05,29618.09,"1,852,233,940.61",62929.93,BTC/USD
04/11/2021,63102.86,60745.84,62929.93,23030.57,"1,420,765,190.91",61448.47,BTC/USD
05/11/2021,62621.97,60789.16,61448.47,20540.56,"1,262,030,165.48",61019.66,BTC/USD
06/11/2021,61594.16,60130.85,61019.66,15432.25,"939,530,051.87",61529.76,BTC/USD
07/11/2021,63309.57,61406.56,61529.76,14937.9,"929,571,983.79",63302.78,BTC/USD
08/11/2021,67755.46,63302.78,63302.78,39774.17,"2,614,939,972.01",67549.14,BTC/USD
09/11/2021,68514.26,66312.42,67549.14,32745.53,"2,209,551,778.82",66939.24,BTC/USD
10/11/2021,68978.64,63196.25,66939.24,50591.31,"3,365,466,815.36",64926.06,BTC/USD
11/11/2021,65585.68,64130.37,64926.06,21475.67,"1,393,819,061.45",64820.8,BTC/USD
12/11/2021,65466.0,62315.02,64820.8,32742.19,"2,090,846,686.00",64156.3,BTC/USD
13/11/2021,64967.34,63406.98,64156.3,12719.98,"815,997,863.99",64409.56,BTC/USD
14/11/2021,65509.06,63616.33,64409.56,14680.72,"947,303,706.23",65509.06,BTC/USD
15/11/2021,66335.42,63442.58,65509.06,25263.23,"1,639,253,320.63",63614.06,BTC/USD
16/11/2021,63614.53,58745.71,63614.06,61509.16,"3,740,808,475.72",60108.9,BTC/USD
17/11/2021,60837.09,58566.05,60108.9,43164.9,"2,582,737,930.61",60365.6,BTC/USD
18/11/2021,60964.37,56535.61,60365.6,63523.43,"3,718,546,724.95",56930.68,BTC/USD
19/11/2021,58403.92,55655.03,56930.68,36833.38,"2,107,344,590.70",58136.22,BTC/USD
20/11/2021,59901.9,57450.63,58136.22,16773.71,"985,075,173.70",59769.66,BTC/USD
21/11/2021,60058.65,58575.6,59769.66,14990.7,"888,045,056.17",58700.83,BTC/USD
22/11/2021,59391.98,55673.01,58700.83,41371.1,"2,371,226,089.18",56303.06,BTC/USD
23/11/2021,57873.77,55485.59,56303.06,37871.22,"2,153,848,949.04",57566.6,BTC/USD
24/11/2021,57740.34,55899.88,57566.6,28738.13,"1,630,017,073.70",57175.09,BTC/USD
25/11/2021,59437.04,57056.64,57175.09,24221.47,"1,412,787,308.46",58966.99,BTC/USD
26/11/2021,59201.95,53575.54,58966.99,60064.72,"3,312,563,227.95",53788.22,BTC/USD
27/11/2021,55316.65,53668.95,53788.22,18504.73,"1,010,585,542.47",54805.03,BTC/USD
28/11/2021,57475.26,53436.05,54805.03,21562.34,"1,186,994,646.57",57331.41,BTC/USD
29/11/2021,58898.57,56752.37,57331.41,29291.8,"1,690,005,715.85",57839.55,BTC/USD
30/11/2021,59226.33,55931.33,57839.55,41466.86,"2,383,744,473.31",56975.35,BTC/USD
01/12/2021,59096.53,56505.99,56975.35,36078.24,"2,072,824,070.98",57227.97,BTC/USD
02/12/2021,57409.48,55850.4,57227.97,30214.7,"1,712,170,975.38",56522.76,BTC/USD
03/12/2021,57639.15,52493.23,56522.76,44903.19,"2,461,497,753.56",53663.25,BTC/USD
04/12/2021,53871.2,43563.07,53663.25,89255.49,"4,315,348,557.56",49243.39,BTC/USD
05/12/2021,49764.31,47840.63,49243.39,42264.26,"2,074,283,149.33",49465.5,BTC/USD
